,X401,X402,X403,X404,X405,X406,X407,X408,X409,X410,X411,X412,X413,X414,X415,X416,X417,X418,X419,X420,X421,X422,X423,X424,X425,X4,X5,X6,X7,X8,X9,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121
PF14_0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,10.87,1.29,0,24.31,0,0,0,0,0,0,21.96,0,0,7.51,4,0,0,21.93,30.6,5.4,0,5.1,30.75,0,7.01,8.44,0,0,0,1.32,12.18,26.07,37.07,62.18,28.89,0,155.91,37.86,13.44,32.34,22.4,11.76,11.9,10.79,98.31,0,36.58,13.49,94.85,28.55,0,56.56,17.02,99.07,24.74,0,35.73,62.4,16.75,133.2,17.06,0,55.31,0,25.33,0,15.21,30.88,22.19,47.68,46.47,20.65,120.11,25.75,34.07,49.78,83.37,51.85,42.92,14.81,30.29,30.04,61.95,28.16,30.69,9.62,15.9,0,5.98,95.6,77.34,42.31,343.61,12.79,26.6,19.22,0,0,45.3,50.45,8.33,49.04,36.85,26.45,0,53.61,77.39,41.08,30.53,48.92,22.16,30.64,17.14,0,0
PF10_0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.76,53.97,83.02,0,13.53,15.91,0,0,0,735.29,1182.94,50.68,0,52.14,40.75,80.01,0,0,91.53,53.05,44.71,48.64,56.36,85.57,83.29,87.81,241.19,0,86.7,50.07,53.32,89.18,65.27,43.36,81.26,33.8,0,87.37,49.57,7.16,45.21,68.22,21.11,29.81,60.2,82.07,0,30.54,13.14,100.77,49.51,0,70.09,9.47,75.12,0,0,55.47,82.48,11.38,231.28,42.7,0,58.91,0,63.43,0,38.64,64.44,133.35,56.35,166.24,42.34,20.05,90.26,13.35,37.4,104.39,90.18,95.53,37.61,34.61,71.36,68.95,47,68.33,48.17,22.75,52.88,32.42,65.42,82.63,247.21,191.24,61.01,18.12,69.11,0,0,91.54,120.54,19.93,68.24,88.6,28.21,0,14.91,64.61,11.43,41.4,73.24,32.11,94.61,14.31,0,0
PF08_0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.39,447.93,860.23,0,473.24,105.26,9543.16,0,0,13377.02,0,416.87,416.12,424.07,210.37,245.81,0,0,484.54,130.02,247.89,225.41,347.86,889.83,59.05,344.02,612.43,0,292.51,109.59,323.19,826.57,658.15,974.39,647.27,584.46,577.21,523.69,1145.66,239.89,747.53,856.95,671.15,629.22,242.86,775.73,0,1443.04,262.74,1319.9,1109.25,5964.53,1183.92,349.1,3027.3,468.83,941.77,734.09,515.32,776.07,629.51,515.6,9760.01,481.58,0,541.2,2277.37,557.62,609.17,539.26,1003.45,2095.26,906.76,871.93,568.82,245.5,235.69,855.2,1888.92,1332.15,187.01,244.08,867.77,488.91,1088.49,1259.66,455.31,1392.11,99.97,363.06,1338.25,1811.49,1001.51,2590.69,1196.76,678.27,340.66,0,0,623.27,1577.34,218.25,660.43,1776.34,503.3,0,850.03,1038.19,929.26,685.47,427.07,341.53,362.6,689.77,2684.04,0
PFD0970c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.93,6.12,3.83,0,12.39,0,883.08,0,0,217.62,0,2.96,0,3.2,7.93,36.25,0,0,3.94,122.92,2.59,1.98,0.92,5.53,1.12,2.84,13.27,0,4.31,38.87,2.01,51.14,103.09,13.78,91.18,72.12,8.22,72.13,47.37,38.66,61.46,48.71,19.57,23.53,19.91,32.4,0,108.48,100.6,121.29,82.13,212.31,138.29,72.91,297.1,211.41,143.05,207.01,113.53,140.3,464.32,624.88,555.81,196.98,59.95,14.89,18.53,6.71,11.1,4.79,21.98,37,7.75,6.48,3.7,9.24,103.55,269.77,131.28,232.12,217.19,229.89,464.78,948.6,112.6,206.96,82.12,63.87,14.24,14.5,101.83,101.44,115.99,174.98,66.36,91.92,181.53,509.58,0,33.77,365.13,17.47,256.55,100.2,80.71,127.39,123.44,180.88,56.62,106.27,56.43,53.9,220.44,140.97,152.86,185.3
PFI0715w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.67,32.51,24.46,0,109.63,0,2044.87,0,0,5956.49,0,110.08,0,49.12,40.63,86.44,0,0,177.99,76.42,26.79,21.15,6.89,27.74,0,14.23,57.06,0,17.29,51.24,21.38,80.02,352.59,136.26,229.39,114.43,0,121.27,204.83,48.27,126.84,175.68,79.57,155.63,107.54,0,0,296.85,85.7,349.89,148.56,2556.23,231.87,92.07,925.79,803.7,538.14,1424.71,215.92,132.53,481.75,215.2,2788.53,165.11,0,84.34,557.72,71.83,83.55,24.01,238.37,179.59,123.87,324.95,153.23,88.53,53.88,225.56,175.35,232.24,282.19,181.18,3528.44,111.75,323.7,442.96,104.07,183.55,0,72.74,348.13,319.56,228.91,619.66,118.65,100.37,231.99,0,0,188.11,415.54,55.59,1406.36,347.87,91.45,0,181.86,104.69,370.46,227.1,142.33,82.88,140.91,278.23,0,0
PF14_0377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.53,43.71,40.43,0,60.89,47.72,8518.03,0,0,4962.14,1774.68,92.19,165.08,101.85,32.91,40,0,0,82.38,73.68,14.09,5.34,36.69,115.52,15.62,5.12,132.04,0,38.01,118.57,36.69,74.95,293.72,483.85,846.19,471.45,228.97,113.61,116.17,114.6,483.78,323.83,70.7,211.11,570.22,615.46,0,503.75,293.65,151.14,547.29,1774.56,57.35,85.22,1229.03,433.96,996.24,387.38,228.02,419.28,554.74,999.56,3871.68,542.07,835.09,73.19,0,130.14,289.99,183.36,404.99,83.11,121.4,120.31,122.49,671.94,254.32,521.93,1228.13,456.79,364.75,421.25,2182.64,2017,132.18,1101.91,102.35,209.94,118.97,33.67,255.59,136.73,1589.16,1434.01,546.81,170.03,153.64,0,0,207.94,1308.85,59.11,495.32,23.57,95.69,0,433.62,678.34,342.91,78.83,354.63,381.16,1367.49,300.46,0,1290.6
PFC0582c-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,18,0,0,0,1.4,2.97,0,18.92,32.16,12.11,0,10.68,12.67,6.92,10.35,23.89,7.53,0,14.54,0,0,0,11.27,0,0,0,8.88,0,76.88,0,0,42.68,17.57,5.29,27.37,12.12,0,0,0,0,0,6.78,0,18.94,22.79,28.33,13.41,0,21.98,15.64,4.25,0,0,0,15.81,27.22,54.24,176.28,30.03,87.35,0,18.64,0,0,20.38,22.66,0,162.91,0,20.91,12.62,0,0,6.78,19.56,0,41.85,1.71,18.81,0,39.95,165.14,0,27.14,9.11,2.78,6.54,73.15,0,0
PF14_0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.62,16.37,8.25,0,20.26,7.94,0,0,0,244.66,0,13.27,36.61,13.51,14.6,12.2,0,0,18.27,17,7.75,11.84,10.26,17.08,24.25,23.54,30.46,0,6.21,59.62,8.32,8.31,65.15,54.93,70.12,31.44,76.19,107.94,45.77,20.73,77.9,59.39,47.54,34.71,38.32,154.72,0,203.16,99.83,94.58,49.41,262.41,142.25,23.63,165.04,20.62,110.51,49.21,73.44,101.78,151.53,85.2,0,135.07,0,20.56,0,15.82,15.73,29.58,47.35,31.34,18.7,40.03,18.59,39.1,114.2,162.09,482.42,174.83,26.22,42.51,66.73,349.88,56.68,99.48,37.39,101.11,52.78,22.4,146.35,139.67,41.13,201.41,151.74,92.54,28.33,0,0,81.28,196.75,42.73,29.96,70.53,67.76,0,122.88,171.96,22.82,46.8,71.93,73.32,96.14,69.03,0,0
PF08_0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.44,86.37,99.89,0,62.91,30.13,0,0,0,3670.8,814.84,80.95,151.62,69.32,59.91,78.07,0,0,157.62,186.09,53.05,61.69,59.34,117.89,3.59,66.87,101.26,0,76.25,74.41,77.71,176.78,172.34,133.1,198.63,105.95,131.43,213.87,185.01,57.82,211.93,174.45,106.53,112.91,108.23,282.62,407.44,189.27,87.71,479.64,192.59,543.27,315.23,66.86,510.05,64.06,171.56,137.42,129.47,172.57,358.14,309.54,1185.36,186.97,191.74,118.19,177.8,64.85,110.97,96.96,159.87,257.64,91.37,131.21,88.82,68.35,134.52,431.41,749.06,456.54,128.64,95.8,169.37,350.29,145.68,288.31,150.67,172.26,136.58,148.59,317.49,337.56,267.58,592.69,284.72,186.34,111.36,0,0,143.98,611.57,88.61,183.28,405.69,129.71,0,233.13,177.98,149.59,109.51,106.32,125.18,269.95,113.34,488.93,592.65
PF13_0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.16,121.66,91.53,0,148.53,116.41,6464.84,0,0,9280.13,3463.27,249.35,2255.15,378.89,84.88,170.78,0,0,80.39,178.3,271.1,255.25,451.44,626.27,426.72,114.24,170.07,6926.55,195.22,296.96,267.5,111.4,222.93,381.78,269.36,229.39,223.44,119.5,102.48,41.33,139.25,183.3,164.58,220.55,217.85,640.61,0,804.37,126.97,57.94,209.32,577.21,92.84,41.58,1287.35,453.7,729.12,350.07,207.03,118.19,308.09,336.7,2518.76,235.36,814.88,161.88,251.87,151.94,245.24,135.55,319.69,16.22,287.93,146.75,50.33,92.5,228.7,101.85,823.59,515.67,164.38,286.38,259.7,378.52,120.38,575.12,76.37,326.39,232.18,80.31,225.94,171.31,129.24,2705.29,299.16,140.26,117.42,0,0,167.96,733.82,78.71,419.42,49.91,77.21,0,127.88,189.12,368.08,193.48,240.27,177.6,538.99,104.71,0,0
